[31/Oct/2018 10:10:07] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:11:08] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:12:08] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:13:09] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:14:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:14:44] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:14:45] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:14:52] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:14:52] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:15:16] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:16:12] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:16:56] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:17:59] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:18:54] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:19:55] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:20:16] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:21:13] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:22:12] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:22:45] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:23:46] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:24:46] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:25:16] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:26:16] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:26:34] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:27:35] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:27:44] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:28:00] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:29:01] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:30:01] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:30:02] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:30:13] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:31:14] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:31:31] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:32:32] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:33:16] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:33:35] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:34:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:35:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:36:36] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:37:15] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:38:16] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:39:16] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:40:17] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:41:17] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:42:17] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:43:17] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:44:17] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:45:18] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:46:18] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:47:18] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:48:18] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:49:21] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:50:21] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:51:21] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:52:21] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:53:22] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:54:22] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:55:22] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:56:23] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:57:23] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:58:23] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 10:59:23] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:00:24] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:01:24] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:02:24] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:03:24] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:04:25] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:05:27] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:06:27] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:07:27] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:08:28] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:09:28] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:10:28] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:11:28] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
[31/Oct/2018 11:12:29] INFO [ce_availability.views:205] VIEWS.PY: CALENDAR accessed by albert.ribes
